Time, IP-address, port, IP-address, port, num, rand, bytes, Throughput
20220706195130,192.168.1.2,56342,192.168.1.3,5001,1,154.0-155.0,208210096,1665680768
20220706195131,192.168.1.2,56342,192.168.1.3,5001,1,155.0-156.0,201708644,1613669152
20220706195132,192.168.1.2,56342,192.168.1.3,5001,1,156.0-157.0,125296768,1002374144
20220706195133,192.168.1.2,56342,192.168.1.3,5001,1,157.0-158.0,105053484,840427872
20220706195134,192.168.1.2,56342,192.168.1.3,5001,1,158.0-159.0,68106748,544853984
20220706195135,192.168.1.2,56342,192.168.1.3,5001,1,159.0-160.0,131041744,1048333952
20220706195136,192.168.1.2,56342,192.168.1.3,5001,1,160.0-161.0,85005128,680041024
20220706195137,192.168.1.2,56342,192.168.1.3,5001,1,161.0-162.0,81280148,650241184
20220706195138,192.168.1.2,56342,192.168.1.3,5001,1,162.0-163.0,64482592,515860736
20220706195139,192.168.1.2,56342,192.168.1.3,5001,1,163.0-164.0,93194336,745554688
20220706195140,192.168.1.2,56342,192.168.1.3,5001,1,164.0-165.0,109341760,874734080
20220706195141,192.168.1.2,56342,192.168.1.3,5001,1,165.0-166.0,101091396,808731168
20220706195142,192.168.1.2,56342,192.168.1.3,5001,1,166.0-167.0,81597300,652778400
20220706195143,192.168.1.2,56342,192.168.1.3,5001,1,167.0-168.0,115954372,927634976
20220706195144,192.168.1.2,56342,192.168.1.3,5001,1,168.0-169.0,108894480,871155840
20220706195145,192.168.1.2,56342,192.168.1.3,5001,1,169.0-170.0,123178724,985429792
20220706195146,192.168.1.2,56342,192.168.1.3,5001,1,170.0-171.0,154291308,1234330464
20220706195147,192.168.1.2,56342,192.168.1.3,5001,1,171.0-172.0,141003776,1128030208
20220706195148,192.168.1.2,56342,192.168.1.3,5001,1,172.0-173.0,62617756,500942048
20220706195149,192.168.1.2,56342,192.168.1.3,5001,1,173.0-174.0,122237732,977901856
20220706195150,192.168.1.2,56342,192.168.1.3,5001,1,174.0-175.0,82605620,660844960
20220706195151,192.168.1.2,56342,192.168.1.3,5001,1,175.0-176.0,99334172,794673376
20220706195152,192.168.1.2,56342,192.168.1.3,5001,1,176.0-177.0,70491096,563928768
20220706195153,192.168.1.2,56342,192.168.1.3,5001,1,177.0-178.0,62593076,500744608
20220706195154,192.168.1.2,56342,192.168.1.3,5001,1,178.0-179.0,66561948,532495584
20220706195155,192.168.1.2,56342,192.168.1.3,5001,1,179.0-180.0,100006360,800050880
20220706195156,192.168.1.2,56342,192.168.1.3,5001,1,180.0-181.0,104408292,835266336
20220706195157,192.168.1.2,56342,192.168.1.3,5001,1,181.0-182.0,65836772,526694176
20220706195158,192.168.1.2,56342,192.168.1.3,5001,1,182.0-183.0,108941264,871530112
20220706195159,192.168.1.2,56342,192.168.1.3,5001,1,183.0-184.0,62573880,500591040
20220706195200,192.168.1.2,56342,192.168.1.3,5001,1,184.0-185.0,94764076,758112608
20220706195201,192.168.1.2,56342,192.168.1.3,5001,1,185.0-186.0,101845040,814760320
20220706195202,192.168.1.2,56342,192.168.1.3,5001,1,186.0-187.0,101646516,813172128
20220706195203,192.168.1.2,56342,192.168.1.3,5001,1,187.0-188.0,150550740,1204405920
20220706195204,192.168.1.2,56342,192.168.1.3,5001,1,188.0-189.0,116739084,933912672
20220706195205,192.168.1.2,56342,192.168.1.3,5001,1,189.0-190.0,64230932,513847456
20220706195206,192.168.1.2,56342,192.168.1.3,5001,1,190.0-191.0,87742948,701943584
20220706195207,192.168.1.2,56342,192.168.1.3,5001,1,191.0-192.0,108349508,866796064
20220706195208,192.168.1.2,56342,192.168.1.3,5001,1,192.0-193.0,92695368,741562944
20220706195209,192.168.1.2,56342,192.168.1.3,5001,1,193.0-194.0,77542156,620337248
20220706195210,192.168.1.2,56342,192.168.1.3,5001,1,194.0-195.0,83329372,666634976
20220706195211,192.168.1.2,56342,192.168.1.3,5001,1,195.0-196.0,71858132,574865056
20220706195212,192.168.1.2,56342,192.168.1.3,5001,1,196.0-197.0,50801828,406414624
20220706195213,192.168.1.2,56342,192.168.1.3,5001,1,197.0-198.0,79764120,638112960
20220706195214,192.168.1.2,56342,192.168.1.3,5001,1,198.0-199.0,79013520,632108160
20220706195215,192.168.1.2,56342,192.168.1.3,5001,1,199.0-200.0,78146500,625172000
20220706195216,192.168.1.2,56342,192.168.1.3,5001,1,200.0-201.0,82794904,662359232
20220706195217,192.168.1.2,56342,192.168.1.3,5001,1,201.0-202.0,86288756,690310048
20220706195218,192.168.1.2,56342,192.168.1.3,5001,1,202.0-203.0,138735856,1109886848
20220706195219,192.168.1.2,56342,192.168.1.3,5001,1,203.0-204.0,141949696,1135597568
20220706195220,192.168.1.2,56342,192.168.1.3,5001,1,204.0-205.0,190179280,1521434240
20220706195221,192.168.1.2,56342,192.168.1.3,5001,1,205.0-206.0,133324576,1066596608
20220706195222,192.168.1.2,56342,192.168.1.3,5001,1,206.0-207.0,124417688,995341504
20220706195223,192.168.1.2,56342,192.168.1.3,5001,1,207.0-208.0,74642460,597139680
20220706195224,192.168.1.2,56342,192.168.1.3,5001,1,208.0-209.0,81472004,651776032
20220706195225,192.168.1.2,56342,192.168.1.3,5001,1,209.0-210.0,96639056,773112448
