Time, IP-address, port, IP-address, port, num, rand, bytes, Throughput
20220705195817,192.168.10.231,51368,192.168.10.245,5001,1,265.0-266.0,61098840,488790720
20220705195818,192.168.10.231,51368,192.168.10.245,5001,1,266.0-267.0,58632800,469062400
20220705195819,192.168.10.231,51368,192.168.10.245,5001,1,267.0-268.0,60177776,481422208
20220705195820,192.168.10.231,51368,192.168.10.245,5001,1,268.0-269.0,61761544,494092352
20220705195821,192.168.10.231,51368,192.168.10.245,5001,1,269.0-270.0,59645232,477161856
20220705195822,192.168.10.231,51368,192.168.10.245,5001,1,270.0-271.0,59950104,479600832
20220705195823,192.168.10.231,51368,192.168.10.245,5001,1,271.0-272.0,59973728,479789824
20220705195824,192.168.10.231,51368,192.168.10.245,5001,1,272.0-273.0,58740880,469927040
20220705195825,192.168.10.231,51368,192.168.10.245,5001,1,273.0-274.0,60459184,483673472
20220705195826,192.168.10.231,51368,192.168.10.245,5001,1,274.0-275.0,60853032,486824256
20220705195827,192.168.10.231,51368,192.168.10.245,5001,1,275.0-276.0,61075376,488603008
20220705195828,192.168.10.231,51368,192.168.10.245,5001,1,276.0-277.0,60933104,487464832
20220705195829,192.168.10.231,51368,192.168.10.245,5001,1,277.0-278.0,61165456,489323648
20220705195830,192.168.10.231,51368,192.168.10.245,5001,1,278.0-279.0,60893424,487147392
20220705195831,192.168.10.231,51368,192.168.10.245,5001,1,279.0-280.0,61383192,491065536
20220705195832,192.168.10.231,51368,192.168.10.245,5001,1,280.0-281.0,61724784,493798272
20220705195833,192.168.10.231,51368,192.168.10.245,5001,1,281.0-282.0,61011240,488089920
20220705195834,192.168.10.231,51368,192.168.10.245,5001,1,282.0-283.0,60955008,487640064
20220705195835,192.168.10.231,51368,192.168.10.245,5001,1,283.0-284.0,56803592,454428736
20220705195836,192.168.10.231,51368,192.168.10.245,5001,1,284.0-285.0,57927992,463423936
20220705195837,192.168.10.231,51368,192.168.10.245,5001,1,285.0-286.0,62737544,501900352
20220705195838,192.168.10.231,51368,192.168.10.245,5001,1,286.0-287.0,58834552,470676416
20220705195839,192.168.10.231,51368,192.168.10.245,5001,1,287.0-288.0,59731320,477850560
20220705195840,192.168.10.231,51368,192.168.10.245,5001,1,288.0-289.0,59343432,474747456
20220705195841,192.168.10.231,51368,192.168.10.245,5001,1,289.0-290.0,60517712,484141696
20220705195842,192.168.10.231,51368,192.168.10.245,5001,1,290.0-291.0,58777216,470217728
20220705195843,192.168.10.231,51368,192.168.10.245,5001,1,291.0-292.0,59683664,477469312
20220705195844,192.168.10.231,51368,192.168.10.245,5001,1,292.0-293.0,60985416,487883328
20220705195845,192.168.10.231,51368,192.168.10.245,5001,1,293.0-294.0,59647464,477179712
20220705195846,192.168.10.231,51368,192.168.10.245,5001,1,294.0-295.0,58751152,470009216
20220705195847,192.168.10.231,51368,192.168.10.245,5001,1,295.0-296.0,59449088,475592704
20220705195848,192.168.10.231,51368,192.168.10.245,5001,1,296.0-297.0,60588664,484709312
20220705195849,192.168.10.231,51368,192.168.10.245,5001,1,297.0-298.0,59483840,475870720
20220705195850,192.168.10.231,51368,192.168.10.245,5001,1,298.0-299.0,61038992,488311936
20220705195851,192.168.10.231,51368,192.168.10.245,5001,1,299.0-300.0,60520608,484164864
20220705195852,192.168.10.231,51368,192.168.10.245,5001,1,300.0-301.0,60946320,487570560
20220705195853,192.168.10.231,51368,192.168.10.245,5001,1,301.0-302.0,60734912,485879296
